pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_c7dde238e839,AVE MARIA DU NIMBA,Danane,,05 00 82 64 64,"[""05 00 82 64 64""]"
ph_5a72fd8a7869,DU PONT DE LIANES,Danane,QUARTIER COMMERCE PRES DE L'HOPITAL GENERAL,07 09 61 00 00 / 01 01 35 24 39,"[""07 09 61 00 00"", ""01 01 35 24 39""]"
ph_1ce47df642b8,MODERNE,Danane,,07 08 84 92 70,"[""07 08 84 92 70""]"
ph_f69ec2a29a8b,SALEM,Danane,,27 33 72 96 60 / 01 71 98 64 30,"[""27 33 72 96 60"", ""01 71 98 64 30""]"
ph_23c436e7b214,DE DIEGONEFLA,Diegonefla,,07 77 88 65 70 / 01 40 98 28 24,"[""07 77 88 65 70"", ""01 40 98 28 24""]"
ph_7d91f1121659,HAMANY,Diegonefla,,27 24 58 15 01 / 07 11 96 68 54,"[""27 24 58 15 01"", ""07 11 96 68 54""]"
ph_b3b85aaa9f83,MAIRIE (GRANDE),Diegonefla,,07 23 01 50 81 / 07 87 76 02 00,"[""07 23 01 50 81"", ""07 87 76 02 00""]"
ph_662cd68fb8b3,AHOUKOUA,Divo,,01 49 52 74 20,"[""01 49 52 74 20""]"
ph_af6a6925accf,CENTRALE,Divo,,27 32 76 03 49,"[""27 32 76 03 49""]"
ph_231b68012536,DE L'AMITIE M. BADIA DJONA LEONARD,Divo,,27 32 76 01 16,"[""27 32 76 01 16""]"
ph_9cd4c8df3dce,DE LA MAIRIE,Divo,,27 32 76 30 75,"[""27 32 76 30 75""]"
ph_057abecbc118,DU DIALOGUE,Divo,,27 32 76 31 77,"[""27 32 76 31 77""]"
ph_c1f8ba91d019,DU MARCHE,Divo,,27 32 76 00 75,"[""27 32 76 00 75""]"
ph_0f211cb63400,ESPERANCE,Divo,,27 32 76 31 04,"[""27 32 76 31 04""]"
ph_419ba673412e,FATIMA,Divo,,27 32 76 33 99,"[""27 32 76 33 99""]"
ph_23defd380496,GARE DE HIRE,Divo,,05 95 15 36 97,"[""05 95 15 36 97""]"
ph_15cda73ba16f,GREMIAN (GRANDE),Divo,GREMIAN FACE GARE DE GAGNOA,05 84 76 33 30 / 27 24 33 69 36,"[""05 84 76 33 30"", ""27 24 33 69 36""]"
ph_6bccdd33e04c,HARMONY,Divo,,07 08 18 80 55,"[""07 08 18 80 55""]"
ph_c531b1ce25f8,IN'CHALLA,Divo,,07 07 57 54 87,"[""07 07 57 54 87""]"
ph_3afc2748e137,KAMELIA LA GRACE / M.JEAN JONAS KOUADIO,Divo,,27 35 96 81 58 / 07 99 02 69 48 / 05 66 24 36 36,"[""27 35 96 81 58"", ""07 99 02 69 48"", ""05 66 24 36 36""]"
ph_9af7eac25eab,KINNINYA,Divo,,27 32 76 34 53 / 01 42 41 87 75,"[""27 32 76 34 53"", ""01 42 41 87 75""]"
ph_bb6ec0be373a,MODERNE DE BRIBORE,Divo,,07 57 84 84 76,"[""07 57 84 84 76""]"
ph_687d59f28e48,SAINTE MARIE,Divo,,27 32 76 09 32 / 27 32 76 36 76,"[""27 32 76 09 32"", ""27 32 76 36 76""]"
ph_b111f2df086e,SAINTE VERONIQUE,Divo,,27 32 76 05 05,"[""27 32 76 05 05""]"
ph_52c68fc4c3c1,DE DUEKOUE (GRANDE),Duekoue,,27 33 70 31 05,"[""27 33 70 31 05""]"
ph_f701db453e06,DE LA GARE DE DUEKOUE,Duekoue,,07 57 49 38 30,"[""07 57 49 38 30""]"
ph_2caa452a0046,DE LA PAIX DUEKOUE,Duekoue,,07 14 25 77 67 / 07 15 87 87 87,"[""07 14 25 77 67"", ""07 15 87 87 87""]"
ph_eab0ad0dfec8,DIVINE GRACE,Duekoue,,27 33 70 21 79,"[""27 33 70 21 79""]"
ph_5a01fc648863,KOKOMAN VIE,Duekoue,,27 21 58 73 15 / 07 87 75 13 73,"[""27 21 58 73 15"", ""07 87 75 13 73""]"
ph_dcc0f3f3a1ce,MASSEBA,Duekoue,,27 21 79 86 38 / 07 09 51 35 03 / 05 00 14 82 82,"[""27 21 79 86 38"", ""07 09 51 35 03"", ""05 00 14 82 82""]"
ph_6f504330f8b8,WAHON,Duekoue,,07 57 02 90 57,"[""07 57 02 90 57""]"
ph_c922167dc1ce,AHOUANE,Gagnoa,BABRE,27 32 77 82 35,"[""27 32 77 82 35""]"
ph_80f0c287aef9,CENTRALE,Gagnoa,FACE GRANDE GARE,27 32 77 24 62,"[""27 32 77 24 62""]"
ph_74df5f9f7c45,DAR ES SALAM,Gagnoa,NOUVEAU GOUDRON,07 07 69 47 92 / 27 32 77 11 48,"[""07 07 69 47 92"", ""27 32 77 11 48""]"
ph_6623c312a7bb,DE BARHYO / M.EZOA JEAN ADJE KOUAME,Gagnoa,GARAGE KOFFI,07 67 88 85 20 / 01 42 64 11 87,"[""07 67 88 85 20"", ""01 42 64 11 87""]"
ph_a9eb32db1b2a,DE GARAHIO,Gagnoa,GARAHIO,32 77 10 56,"[""32 77 10 56""]"
ph_466083a65893,DIOULABOUGOU SANTE,Gagnoa,,27 32 77 16 35,"[""27 32 77 16 35""]"
ph_672615f19623,DU CHATEAU,Gagnoa,MOSQUEE EN BOIS,27 32 77 38 38,"[""27 32 77 38 38""]"
ph_b29c73b5368f,DU GOGNOA,Gagnoa,FACE AU GRAND MARCHE,27 32 77 22 92,"[""27 32 77 22 92""]"
ph_91552c0f4d2f,DU MARCHE,Gagnoa,FACE BIT,27 32 77 22 62,"[""27 32 77 22 62""]"
ph_12bfa0e0960e,LAFIA / M.TOURE TESSE HAMED,Gagnoa,PETIT MARCHE DIOULABOUGOU,27 32 77 25 20,"[""27 32 77 25 20""]"
ph_030c2e94511e,MANUELLA,Gagnoa,ONY-BABRE,05 75 41 56 31 / 07 68 36 96 47,"[""05 75 41 56 31"", ""07 68 36 96 47""]"
ph_f5d8e41e419b,MARLYNS,Gagnoa,FACE CSK,27 32 77 12 24 / 07 57 49 38 18 / 07 49 03 32 44,"[""27 32 77 12 24"", ""07 57 49 38 18"", ""07 49 03 32 44""]"
ph_b89799a3bb48,MATHE,Gagnoa,COCOVILLE,27 32 77 20 83,"[""27 32 77 20 83""]"
